名称,面积,朝向,户型,位置,楼层,是否有电梯,建成时间, 门锁,绿化
自如友家·福星惠誉东湖城·4居室-01卧,18.5㎡,朝南,4室1厅,"
小区距4号线罗家港站步行约740米
 ",22/52,有,2021年建成,智能门锁,35%
自如友家·兴华尚都国际·4居室-05卧,15.6㎡,朝南,4室1厅,"
小区距3号线双墩站步行约654米
 ",28/33,有,2018年建成,智能门锁,30%
自如友家·碧桂园云玺·4居室-05卧,17.5㎡,朝南,4室1厅,"
小区距11号线光谷六路站步行约608米
 ",18/30,有,2021年建成,智能门锁,30%
自如友家·常青花园恒大御景·4居室-05卧,14.7㎡,朝南,4室1厅,"
小区距2号线常青花园站步行约293米
 ",11/32,有,2021年建成,智能门锁,30%
自如友家·地铁时代常青城·3居室-03卧,19㎡,朝南,3室1厅,"
小区距2号线常青城站步行约548米
 ",3/30,有,2017年建成,智能门锁,30%
自如友家·纽宾凯公园里·4居室-05卧,17.2㎡,朝南,4室1厅,"
小区距4号线十里铺站步行约95米
 ",38/45,有,2020年建成,智能门锁,18%
自如友家·楚天雅苑·3居室-03卧,15.74㎡,朝南,3室1厅,"
小区距5号线张家湾站步行约282米
 ",15/32,有,2021年建成,智能门锁,30%
自如友家·翰林尚苑·4居室-05卧,15.3㎡,朝南,4室1厅,"
小区距7号线新路村站步行约218米
 ",13/24,有,2020年建成,智能门锁,30%
自如友家·阳城景园·4居室-01卧,15.5㎡,朝南,4室1厅,"
小区距4号线十里铺站步行约399米
 ",4/12,有,2004年建成,智能门锁,38%
自如友家·铁机盛世家园·5居室-06卧,20.33㎡,朝南,5室1厅,"
小区距4号线园林路站步行约731米
 ",16/30,有,2001年建成,智能门锁,50%
自如友家·汉口春天·5居室-02卧,18.2㎡,朝南,5室1厅,"
小区距1号线古田三路站步行约279米
 ",6/6,无,2007年建成,智能门锁,40%
自如友家·磨山港湾·4居室-05卧,18㎡,朝南,4室1厅,"
小区距4号线玉龙路站步行约596米
 ",38/45,有,2017年建成,智能门锁,25%
自如友家·汉阳人信汇四期天誉·3居室-01卧,13.74㎡,朝南,3室1厅,"
小区距3号线龙阳村站步行约308米
 ",10/45,有,2018年建成,智能门锁,35%
自如友家·国创光谷上城·4居室-05卧,15㎡,朝南,4室1厅,"
小区距11号线湖口站步行约540米
 ",18/33,有,2016年建成,智能门锁,35%
自如友家·惠东花园·4居室-05卧,26.8㎡,朝南,4室1厅,"
小区距3号线香港路站步行约122米
 ",6/8,无,2000年建成,智能门锁,暂无数据
自如友家·汉口春天·4居室-05卧,17.7㎡,朝南,4室1厅,"
小区距1号线古田三路站步行约659米
 ",2/6,无,2007年建成,智能门锁,40%
自如友家·顶琇晶城·3居室-01卧,14.41㎡,朝南,3室1厅,"
小区距6号线唐家墩站步行约227米
 ",3/33,有,2009年建成,智能门锁,33%
自如友家·钰龙湾丰园·3居室-01卧,19.3㎡,朝南,3室1厅,"
小区距4号线七里庙站步行约454米
 ",37/40,有,2018年建成,智能门锁,25%
自如友家·融创融公馆二期·4居室-01卧,12.9㎡,朝南,4室1厅,"
小区距6号线杨汊湖站步行约368米
 ",7/34,有,2020年建成,智能门锁,30%
自如友家·福星惠誉福星华府峯境·4居室-05卧,15.8㎡,朝南,4室1厅,"
小区距6号线杨汊湖站步行约293米
 ",39/43,有,2021年建成,智能门锁,30%
自如友家·千家鑫苑·3居室-02卧,14.29㎡,朝南,3室1厅,"
小区距7号线武昌火车站站步行约228米
 ",2/17,有,2013年建成,智能门锁,20%
自如友家·福星华府誉境·3居室-01卧,17.99㎡,朝南,3室1厅,"
小区距6号线杨汊湖站步行约530米
 ",18/44,有,2020年建成,智能门锁,30%
自如友家·龙阳熙苑·4居室-05卧,14.8㎡,朝南,4室1厅,"
小区距3号线龙阳村站步行约475米
 ",26/48,有,2017年建成,智能门锁,30%
自如友家·紫澄花园·4居室-01卧,18㎡,朝南,4室1厅,"
小区距3号线后湖大道站步行约600米
 ",32/32,有,2014年建成,智能门锁,30%
自如友家·蓝色天际·4居室-05卧,17.3㎡,朝南,4室1厅,"
小区距6号线唐家墩站步行约447米
 ",6/7,无,2004年建成,智能门锁,38%
自如友家·联投驿园·4居室-05卧,14㎡,朝南,4室1厅,"
小区距11号线光谷六路站步行约161米
 ",29/33,有,2020年建成,智能门锁,45%
自如友家·中建御景星城·4居室-05卧,11.8㎡,朝南,4室1厅,"
小区距1号线太平洋站步行约394米
 ",14/47,有,2017年建成,智能门锁,35%
自如友家·统建新干线·4居室-01卧,14.62㎡,朝南,4室1厅,"
小区距1号线堤角站步行约432米
 ",16/31,有,2015年建成,智能门锁,35%
自如友家·保利华都·4居室-05卧,19㎡,朝南,4室1厅,"
小区距2号线杨家湾站步行约176米
 ",22/29,有,2012年建成,智能门锁,30%
自如友家·兴华尚都国际·3居室-03卧,12.96㎡,朝南,3室1厅,"
小区距3号线双墩站步行约202米
 ",13/32,有,2018年建成,智能门锁,30%
自如友家·纽宾凯公园里·4居室-05卧,13.93㎡,朝南,4室1厅,"
小区距4号线十里铺站步行约95米
 ",44/45,有,2020年建成,智能门锁,18%
自如友家·碧桂园云玺·4居室-05卧,17.5㎡,朝南,4室1厅,"
小区距11号线光谷六路站步行约608米
 ",28/30,有,2021年建成,智能门锁,30%
自如友家·南湖雅园·4居室-03卧,12.87㎡,朝北,4室1厅,"
小区距8号线文治街站步行约197米
 ",5/12,有,2015年建成,智能门锁,25%
自如友家·福星华府誉境·3居室-01卧,17.2㎡,朝南,3室1厅,"
小区距6号线杨汊湖站步行约530米
 ",10/44,有,2020年建成,智能门锁,30%
自如友家·地铁紫阳城·4居室-01卧,16㎡,朝东南,4室1厅,"
小区距4号线梅苑小区站步行约274米
 ",30/32,有,2018年建成,智能门锁,20%
自如友家·美联奥林匹克花园一期·4居室-01卧,19.2㎡,朝南,4室1厅,"
小区距2号线金银潭站步行约1064米
 ",3/6,无,2010年建成,智能门锁,35%
自如友家·统建天成美景·3居室-03卧,13.65㎡,朝南,3室1厅,"
小区距2号线武汉东站站步行约490米
 ",9/33,有,2017年建成,智能门锁,35%
自如友家·阳城景园·4居室-05卧,19㎡,朝南,4室1厅,"
小区距4号线十里铺站步行约352米
 ",3/12,有,2004年建成,智能门锁,38%
自如友家·汉江湾壹号·4居室-02卧,15.6㎡,朝南,4室1厅,"
小区距1号线古田一路站步行约207米
 ",12/42,有,2017年建成,智能门锁,25%
自如友家·招商江湾国际·5居室-06卧,17.5㎡,朝西,5室1厅,"
小区距1号线古田二路站步行约715米
 ",28/33,有,2017年建成,智能门锁,45%
自如友家·石桥花园A区·3居室-03卧,15㎡,朝南,3室1厅,"
小区距6号线石桥站步行约711米
 ",26/29,有,2009年建成,智能门锁,30%
自如友家·碧桂园云玺·5居室-06卧,17.5㎡,朝南,5室1厅,"
小区距11号线光谷六路站步行约454米
 ",10/30,有,2021年建成,智能门锁,30%
自如友家·阳城景园·4居室-01卧,15.7㎡,朝南,4室1厅,"
小区距4号线十里铺站步行约426米
 ",8/12,有,2004年建成,智能门锁,38%
自如友家·常青花园十一小区·3居室-01卧,18.68㎡,朝南,3室1厅,"
小区距2号线常青花园站步行约272米
 ",8/12,有,2008年建成,智能门锁,36%
自如友家·江南明珠园·4居室-05卧,18.5㎡,朝西,4室1厅,"
小区距5号线三层楼站步行约518米
 ",2/18,有,2004年建成,智能门锁,49%
自如友家·汉阳人信汇四期天誉·3居室-01卧,15㎡,朝南,3室1厅,"
小区距3号线龙阳村站步行约454米
 ",16/21,有,2018年建成,智能门锁,35%
自如友家·金地北辰阅风华·4居室-01卧,18㎡,朝南,4室1厅,"
小区距2号线金银潭站步行约466米
 ",15/18,有,2021年建成,智能门锁,30%
自如友家·梅苑小区一期·4居室-02卧,18.1㎡,朝南,4室1厅,"
小区距4号线梅苑小区站步行约48米
 ",4/7,无,1994年建成,智能门锁,30%
自如友家·常青花园恒大御景·4居室-05卧,15.1㎡,朝南,4室1厅,"
小区距2号线常青花园站步行约259米
 ",19/32,有,2021年建成,智能门锁,30%
自如友家·百步亭长青壹号·3居室-01卧,16.7㎡,朝南,3室1厅,"
小区距2号线常青花园站步行约549米
 ",27/32,有,2019年建成,智能门锁,30%
自如友家·尚隆地球村·5居室-06卧,21.4㎡,朝南,5室1厅,"
小区距2号线积玉桥站步行约762米
 ",12/13,有,2002年建成,智能门锁,41%
自如友家·天梨豪园·4居室-05卧,17.2㎡,朝南,4室1厅,"
小区距2号线汉口火车站站步行约646米
 ",4/11,有,2000年建成,智能门锁,36%
自如友家·千禧城·5居室-06卧,17.6㎡,朝南,5室1厅,"
小区距1号线古田三路站步行约19米
 ",15/47,有,2019年建成,智能门锁,55%
自如友家·东湖花园一期·4居室-05卧,19.5㎡,朝北,4室1厅,"
小区距8号线岳家嘴站步行约518米
 ",9/16,有,2011年建成,智能门锁,35%
自如友家·博文花园·4居室-05卧,18.5㎡,朝北,4室1厅,"
小区距8号线马房山站步行约374米
 ",5/7,无,2004年建成,智能门锁,35%
自如友家·首地云梦台·4居室-01卧,14.2㎡,朝南,4室1厅,"
小区距8号线塔子湖站步行约873米
 ",6/32,有,2021年建成,智能门锁,30%
自如友家·亚安花园·4居室-05卧,17.85㎡,朝南,4室1厅,"
小区距3号线赵家条站步行约269米
 ",11/11,有,2017年建成,智能门锁,40%
自如友家·美联奥林匹克花园二期·5居室-01卧,20㎡,朝南,5室1厅,"
小区距2号线金银潭站步行约826米
 ",10/27,有,2014年建成,智能门锁,30%
自如友家·百步亭长青壹号·3居室-01卧,19.12㎡,朝北,3室1厅,"
小区距2号线常青花园站步行约781米
 ",27/33,有,2019年建成,智能门锁,30%
自如友家·尚隆地球村·5居室-06卧,21.4㎡,朝南,5室1厅,"
小区距2号线积玉桥站步行约762米
 ",12/13,有,2002年建成,智能门锁,41%
自如友家·天梨豪园·4居室-05卧,17.2㎡,朝南,4室1厅,"
小区距2号线汉口火车站站步行约646米
 ",4/11,有,2000年建成,智能门锁,36%
自如友家·福星惠誉福星华府峯境·4居室-01卧,13㎡,朝东南,4室1厅,"
小区距6号线杨汊湖站步行约260米
 ",43/44,有,2021年建成,智能门锁,30%
自如友家·东湖花园一期·4居室-05卧,19.5㎡,朝北,4室1厅,"
小区距8号线岳家嘴站步行约518米
 ",9/16,有,2011年建成,智能门锁,35%
自如友家·博文花园·4居室-05卧,18.5㎡,朝北,4室1厅,"
小区距8号线马房山站步行约374米
 ",5/7,无,2004年建成,智能门锁,35%
自如友家·首地云梦台·4居室-01卧,14.2㎡,朝南,4室1厅,"
小区距8号线塔子湖站步行约873米
 ",6/32,有,2021年建成,智能门锁,30%
自如友家·亚安花园·4居室-05卧,17.85㎡,朝南,4室1厅,"
小区距3号线赵家条站步行约269米
 ",11/11,有,2017年建成,智能门锁,40%
自如友家·美联奥林匹克花园二期·5居室-01卧,20㎡,朝南,5室1厅,"
小区距2号线金银潭站步行约826米
 ",10/27,有,2014年建成,智能门锁,30%
自如友家·现代城二区·5居室-01卧,17.9㎡,朝南,5室1厅,"
小区距1号线丹水池站步行约709米
 ",6/18,有,2011年建成,智能门锁,38%
自如友家·复地翠微新城·4居室-01卧,18.7㎡,朝南,4室1厅,"
小区距4号线汉阳火车站站步行约833米
 ",5/6,无,2003年建成,智能门锁,38%
自如友家·百步亭长青壹号·5居室-06卧,16.8㎡,朝南,5室1厅,"
小区距2号线常青花园站步行约520米
 ",20/33,有,2019年建成,智能门锁,30%
自如友家·统建同安家园·4居室-01卧,17㎡,朝南,4室1厅,"
小区距3号线后湖大道站步行约498米
 ",30/34,有,2009年建成,智能门锁,47%
自如友家·丽水康城·4居室-01卧,17.35㎡,朝南,4室1厅,"
小区距3号线宗关站步行约451米
 ",15/28,有,2007年建成,智能门锁,46%
自如友家·紫菘花园·4居室-03卧,17.1㎡,朝南,4室1厅,"
小区距2号线光谷广场站步行约1142米
 ",5/7,无,1999年建成,智能门锁,33%
自如友家·紫薇花园·3居室-03卧,19.56㎡,朝南,3室1厅,"
小区距1号线古田四路站步行约235米
 ",3/6,无,2004年建成,智能门锁,30%
自如友家·紫菘花园·3居室-01卧,19.1㎡,朝南,3室1厅,"
小区距2号线光谷广场站步行约1249米
 ",2/7,无,1999年建成,智能门锁,33%
自如友家·汉阳人信汇四期天誉·3居室-01卧,15.9㎡,朝南,3室1厅,"
小区距3号线王家湾站步行约318米
 ",28/45,有,2018年建成,智能门锁,35%
自如友家·金融街壹号·4居室-05卧,13.2㎡,朝南,4室1厅,"
小区距3号线赵家条站步行约256米
 ",40/45,有,2017年建成,智能门锁,35%
自如友家·世纪彩城·4居室-05卧,19.91㎡,朝北,4室1厅,"
小区距4号线东亭站步行约495米
 ",3/12,有,2010年建成,智能门锁,36%
自如友家·福星惠誉红桥城·4居室-01卧,15.4㎡,朝南,4室1厅,"
小区距21号线(阳逻线)新荣客运站站步行约562米
 ",31/42,有,2016年建成,智能门锁,35%
自如友家·汉江湾壹号·4居室-01卧,14.6㎡,朝南,4室1厅,"
小区距1号线古田一路站步行约354米
 ",11/31,有,2017年建成,智能门锁,25%
自如友家·光谷悦城·4居室-05卧,20.2㎡,朝南,4室1厅,"
小区距2号线黄龙山路站步行约1140米
 ",16/32,有,2017年建成,智能门锁,35%
自如友家·东立国际·4居室-05卧,19.7㎡,朝南,4室1厅,"
小区距1号线二七路站步行约490米
 ",18/19,有,2007年建成,智能门锁,40%
自如友家·中建东湖锦城·4居室-05卧,18.6㎡,朝南,4室1厅,"
小区距2号线黄龙山路站步行约834米
 ",10/33,有,2018年建成,智能门锁,30%
自如友家·中国铁建1818中心·3居室-03卧,15㎡,朝南,3室1厅,"
小区距4号线楚河汉街站步行约237米
 ",20/43,有,2015年建成,智能门锁,31%
自如友家·统建同安家园·4居室-01卧,17.84㎡,朝南,4室1厅,"
小区距3号线后湖大道站步行约482米
 ",11/11,有,2009年建成,智能门锁,47%
自如友家·琨瑜府一期·5居室-06卧,17.3㎡,朝南,5室1厅,"
小区距2号线华中科技大学站步行约1059米
 ",33/34,有,2019年建成,智能门锁,30%
自如友家·汉阳人信汇二期天悦·5居室-06卧,18㎡,朝南,5室1厅,"
小区距3号线龙阳村站步行约474米
 ",14/34,有,2014年建成,智能门锁,35%
自如友家·统建同安家园·4居室-01卧,16㎡,朝南,4室1厅,"
小区距3号线后湖大道站步行约437米
 ",28/34,有,2009年建成,智能门锁,47%
自如友家·世茂锦绣长江五期·4居室-05卧,17.3㎡,朝南,4室1厅,"
小区距6号线马鹦路站步行约194米
 ",4/52,有,2016年建成,智能门锁,40%
自如友家·绿地国际金融城二期·4居室-05卧,18.2㎡,朝北,4室1厅,"
小区距5号线三角路站步行约149米
 ",2/32,有,2015年建成,智能门锁,30%
自如友家·汉阳人信汇四期天誉·4居室-05卧,15.5㎡,朝南,4室1厅,"
小区距3号线龙阳村站步行约308米
 ",40/45,有,2018年建成,智能门锁,35%
自如友家·时代天骄·4居室-05卧,18.5㎡,朝南,4室1厅,"
小区距1号线硚口路站步行约878米
 ",8/16,有,2008年建成,智能门锁,30%
自如友家·中力名居·5居室-06卧,20㎡,朝南,5室1厅,"
小区距8号线徐东站步行约370米
 ",8/11,有,2006年建成,智能门锁,38%
自如友家·凯乐桂园·5居室-06卧,17㎡,朝南,5室1厅,"
小区距2号线虎泉站步行约431米
 ",27/30,有,2019年建成,智能门锁,40%
自如友家·时代天骄·4居室-05卧,22.6㎡,朝南,4室1厅,"
小区距1号线硚口路站步行约991米
 ",2/18,有,2008年建成,智能门锁,30%
自如友家·磨山港湾·4居室-01卧,14㎡,朝南,4室1厅,"
小区距4号线玉龙路站步行约608米
 ",4/45,有,2017年建成,智能门锁,25%
自如友家·新华家园·3居室-01卧,16.1㎡,朝南,3室1厅,"
小区距6号线石桥站步行约421米
 ",14/21,有,2003年建成,智能门锁,30%
自如友家·惠东花园·4居室-02卧,20㎡,朝北,4室1厅,"
小区距3号线香港路站步行约122米
 ",6/8,无,2000年建成,智能门锁,暂无数据
自如友家·凯乐桂园·3居室-03卧,16.8㎡,朝南,3室1厅,"
小区距2号线虎泉站步行约431米
 ",22/30,有,2019年建成,智能门锁,40%
自如友家·东湖花园一期·4居室-05卧,28.3㎡,朝南,4室1厅,"
小区距4号线铁机路站步行约734米
 ",7/9,有,2011年建成,智能门锁,35%
自如友家·凯乐桂园·3居室-03卧,12㎡,朝南,3室2厅,"
小区距2号线虎泉站步行约190米
 ",22/30,有,2019年建成,智能门锁,40%
自如友家·金色雅园金源苑·4居室-05卧,23.7㎡,朝南,4室1厅,"
小区距2号线长港路站步行约98米
 ",2/10,有,2000年建成,智能门锁,27%
自如友家·学府佳园·4居室-05卧,20.81㎡,朝南,4室1厅,"
小区距2号线佳园路站步行约222米
 ",2/6,无,2001年建成,智能门锁,40%
自如友家·统建天成美景·5居室-06卧,14㎡,朝南,5室1厅,"
小区距2号线武汉东站站步行约271米
 ",29/33,有,2017年建成,智能门锁,35%
自如友家·凯乐桂园·3居室-03卧,12.2㎡,朝南,3室1厅,"
小区距2号线虎泉站步行约190米
 ",2/30,有,2019年建成,智能门锁,40%
自如友家·华乐花园·4居室-02卧,16.93㎡,朝南,4室1厅,"
小区距2号线光谷大道站步行约256米
 ",6/11,有,2006年建成,智能门锁,38%
自如友家·学府佳园·4居室-05卧,18.4㎡,朝南,4室1厅,"
小区距2号线佳园路站步行约73米
 ",2/6,无,2001年建成,智能门锁,40%
自如友家·顶琇国际城·4居室-05卧,21.5㎡,朝南,4室1厅,"
小区距6号线唐家墩站步行约345米
 ",36/47,有,2016年建成,智能门锁,25%
自如友家·鹏程蕙园·4居室-02卧,13.6㎡,朝南,4室1厅,"
小区距2号线街道口站步行约227米
 ",13/31,有,2006年建成,智能门锁,37%
自如友家·锦绣人家·4居室-01卧,19.1㎡,朝南,4室1厅,"
小区距2号线长港路站步行约666米
 ",2/12,有,2006年建成,智能门锁,43%
自如友家·城开玉桥新都·4居室-05卧,16.1㎡,朝南,4室1厅,"
小区距2号线积玉桥站步行约294米
 ",8/11,有,2006年建成,智能门锁,51%
自如友家·国创光谷上城·4居室-05卧,15.8㎡,朝南,4室1厅,"
小区距11号线湖口站步行约441米
 ",3/33,有,2016年建成,智能门锁,35%
自如友家·锦绣汉江六区·4居室-01卧,约17.1㎡,朝南,4室1厅,"
小区距4号线玉龙路站步行约243米
 ",20/48,有,2020年建成,普通门锁,暂无数据
自如友家·统建同安家园·4居室-01卧,18㎡,朝南,4室1厅,"
小区距3号线后湖大道站步行约349米
 ",2/18,有,2009年建成,智能门锁,47%
自如友家·汉口城市广场四期·5居室-01卧,15.2㎡,朝南,5室1厅,"
小区距3号线后湖大道站步行约452米
 ",10/31,有,2017年建成,智能门锁,35%
自如友家·天源城·4居室-05卧,18.6㎡,朝北,4室1厅,"
小区距4号线青鱼嘴站步行约447米
 ",4/12,有,2004年建成,智能门锁,47%
自如友家·圆梦美丽家园·5居室-06卧,20.55㎡,朝南,5室1厅,"
小区距8号线马房山站步行约484米
 ",4/10,有,2011年建成,智能门锁,42%
自如友家·凯乐桂园·3居室-01卧,15.67㎡,朝南,3室2厅,"
小区距2号线虎泉站步行约378米
 ",17/30,有,2019年建成,智能门锁,40%
自如友家·锦绣人家·4居室-01卧,18.42㎡,朝南,4室1厅,"
小区距2号线长港路站步行约746米
 ",3/12,有,2006年建成,智能门锁,43%
自如友家·电业新村·4居室-05卧,17.42㎡,朝南,4室1厅,"
小区距2号线青年路站步行约143米
 ",5/25,有,2007年建成,智能门锁,31%
自如友家·汉阳人信汇四期天誉·4居室-05卧,14.8㎡,朝南,4室1厅,"
小区距3号线王家湾站步行约561米
 ",45/48,有,2018年建成,智能门锁,35%
自如友家·惠东花园·6居室-07卧,24㎡,朝南,6室1厅,"
小区距3号线香港路站步行约70米
 ",2/7,无,2000年建成,智能门锁,暂无数据
自如友家·万科金域时代·4居室-05卧,15.4㎡,朝南,4室1厅,"
小区距3号线菱角湖站步行约355米
 ",36/47,有,2019年建成,智能门锁,28%
自如友家·磨山港湾·3居室-01卧,16.1㎡,朝南,3室1厅,"
小区距4号线玉龙路站步行约670米
 ",11/32,有,2017年建成,智能门锁,25%
自如友家·东湖睿园·3居室-03卧,18.7㎡,朝南,3室1厅,"
小区距8号线岳家嘴站步行约286米
 ",25/27,有,2016年建成,智能门锁,30%
自如友家·天源城·4居室-05卧,24.7㎡,朝南,4室1厅,"
小区距4号线青鱼嘴站步行约463米
 ",2/12,有,2004年建成,智能门锁,47%
自如友家·学府鑫苑·3居室-03卧,15.9㎡,朝南,3室1厅,"
小区距2号线街道口站步行约606米
 ",27/31,有,2017年建成,智能门锁,30%
自如友家·平安光谷春天·3居室-03卧,14.03㎡,朝南,3室1厅,"
小区距2号线佛祖岭站步行约447米
 ",25/33,有,2016年建成,智能门锁,36%
自如友家·首地云梦台·5居室-01卧,18.79㎡,朝南,5室1厅,"
小区距8号线塔子湖站步行约968米
 ",8/44,有,2021年建成,智能门锁,30%
自如友家·翰林尚苑·4居室-01卧,14.4㎡,朝南,4室1厅,"
小区距7号线新路村站步行约107米
 ",4/24,有,2020年建成,智能门锁,30%
自如友家·地铁紫阳城·4居室-05卧,17.75㎡,朝北,4室1厅,"
小区距4号线梅苑小区站步行约274米
 ",26/32,有,2018年建成,智能门锁,20%
自如友家·东辉花园·4居室-05卧,21.1㎡,朝南,4室1厅,"
小区距1号线硚口路站步行约265米
 ",11/18,有,2004年建成,智能门锁,37%
自如友家·凯乐桂园·5居室-06卧,16㎡,朝南,5室1厅,"
小区距2号线虎泉站步行约190米
 ",24/30,有,2019年建成,智能门锁,40%
自如友家·江山如画五期·4居室-05卧,20㎡,朝南,4室1厅,"
小区距6号线武胜路站步行约363米
 ",24/31,有,2016年建成,智能门锁,38%
自如友家·融创融公馆·5居室-01卧,15.1㎡,朝南,5室1厅,"
小区距6号线杨汊湖站步行约500米
 ",8/18,有,2018年建成,智能门锁,35%
自如友家·尚文创业城·4居室-05卧,22.6㎡,朝西,4室1厅,"
小区距2号线杨家湾站步行约574米
 ",4/8,有,2002年建成,智能门锁,38%
自如友家·学府佳园·4居室-05卧,18.5㎡,朝南,4室1厅,"
小区距2号线佳园路站步行约290米
 ",4/6,无,2001年建成,智能门锁,40%
自如友家·汉江湾壹号·4居室-02卧,15.6㎡,朝南,4室1厅,"
小区距1号线古田一路站步行约207米
 ",18/42,有,2017年建成,智能门锁,25%
自如友家·琨瑜府一期·5居室-06卧,18㎡,朝南,5室1厅,"
小区距2号线华中科技大学站步行约1059米
 ",12/34,有,2019年建成,智能门锁,30%
自如友家·日月华庭·3居室-03卧,15.48㎡,朝南,3室1厅,"
小区距2号线范湖站步行约1044米
 ",7/31,有,2007年建成,智能门锁,35%
自如友家·宝利金二期中央荣御·5居室-02卧,20.7㎡,朝西北,5室1厅,"
小区距2号线江汉路站步行约369米
 ",12/33,有,2011年建成,智能门锁,37%
自如友家·梅苑小区二期·4居室-05卧,22.3㎡,朝南,4室1厅,"
小区距4号线梅苑小区站步行约354米
 ",3/7,无,2000年建成,智能门锁,33%
自如友家·凯乐桂园·3居室-01卧,15.8㎡,朝南,3室1厅,"
小区距2号线虎泉站步行约378米
 ",22/30,有,2019年建成,智能门锁,40%
